iter	Passed	Remaining
0	67	679796
1	80	404214
2	93	310537
3	104	261372
4	118	236792
5	128	214450
6	138	197418
7	148	184885
8	157	174465
9	166	166624
10	176	160383
11	186	154868
12	196	150829
13	206	147230
14	216	143915
15	225	140660
16	234	137933
17	244	135772
18	255	134141
19	267	133272
20	276	131576
21	286	129983
22	296	128494
23	305	127087
24	314	125629
25	331	127232
26	345	127788
27	356	126828
28	365	125663
29	374	124574
30	384	123547
31	395	123081
32	404	122228
33	413	121185
34	423	120469
35	446	123558
36	457	123162
37	466	122237
38	476	121758
39	491	122389
40	500	121582
41	510	120987
42	518	120165
43	528	119489
44	537	118828
45	548	118631
46	557	118075
47	567	117737
48	577	117270
49	587	116966
50	598	116675
51	607	116313
52	616	115754
53	625	115169
54	634	114818
55	643	114341
56	653	113931
57	670	115009
58	680	114705
59	689	114249
60	699	114017
61	709	113666
62	718	113305
63	727	112905
64	735	112448
65	746	112329
66	754	111931
67	763	111545
68	772	111123
69	780	110701
70	789	110366
71	798	110047
72	822	111895
73	833	111838
74	848	112339
75	858	112086
76	867	111747
77	876	111466
78	884	111118
79	893	110800
80	904	110738
81	913	110541
82	923	110323
83	932	110072
84	943	110084
85	953	109903
86	963	109778
87	975	109928
88	984	109675
89	993	109424
90	1004	109344
91	1012	109070
92	1023	109018
93	1032	108758
94	1040	108435
95	1048	108202
96	1056	107890
97	1068	107940
98	1086	108634
99	1094	108335
100	1104	108214
101	1112	107953
102	1121	107719
103	1129	107451
104	1137	107191
105	1145	106931
106	1154	106700
107	1162	106511
108	1171	106336
109	1180	106156
110	1189	105939
111	1198	105843
112	1207	105627
113	1217	105596
114	1227	105550
115	1236	105342
116	1245	105169
117	1253	105007
118	1263	104952
119	1276	105109
120	1285	104982
121	1294	104823
122	1304	104744
123	1313	104616
124	1324	104656
125	1332	104418
126	1341	104265
127	1349	104052
128	1357	103894
129	1367	103813
130	1376	103683
131	1384	103488
132	1392	103312
133	1402	103294
134	1411	103124
135	1419	102947
136	1432	103153
137	1445	103269
138	1454	103163
139	1462	102976
140	1471	102880
141	1481	102850
142	1489	102675
143	1498	102578
144	1506	102419
145	1515	102280
146	1523	102113
147	1531	101916
148	1538	101734
149	1548	101661
150	1556	101544
151	1567	101532
152	1579	101626
153	1587	101525
154	1597	101435
155	1607	101459
156	1617	101381
157	1626	101286
158	1634	101183
159	1643	101085
160	1652	100965
161	1662	100983
162	1671	100877
163	1679	100756
164	1689	100687
165	1697	100550
166	1705	100401
167	1714	100361
168	1723	100268
169	1731	100133
170	1741	100109
171	1750	100014
172	1759	99940
173	1767	99830
174	1776	99733
175	1784	99590
176	1793	99522
177	1802	99473
178	1813	99481
179	1829	99813
180	1839	99768
181	1848	99711
182	1856	99583
183	1866	99563
184	1875	99492
185	1887	99611
186	1896	99517
187	1905	99467
188	1914	99399
189	1923	99318
190	1931	99217
191	1943	99266
192	1952	99202
193	1962	99202
194	1970	99082
195	1979	99024
196	1988	98937
197	1995	98791
198	2004	98710
199	2011	98586
200	2021	98537
201	2030	98480
202	2039	98423
203	2047	98325
204	2055	98230
205	2064	98173
206	2073	98091
207	2081	98001
208	2091	97984
209	2099	97886
210	2107	97766
211	2116	97697
212	2125	97673
213	2135	97663
214	2144	97614
215	2154	97584
216	2162	97502
217	2172	97462
218	2181	97445
219	2191	97415
220	2199	97318
221	2208	97264
222	2216	97177
223	2226	97155
224	2235	97140
225	2246	97143
226	2256	97154
227	2265	97118
228	2276	97113
229	2285	97069
230	2293	97006
231	2302	96939
232	2312	96953
233	2320	96864
234	2329	96787
235	2339	96791
236	2348	96742
237	2357	96694
238	2365	96615
239	2374	96551
240	2384	96560
241	2393	96520
242	2403	96503
243	2415	96596
244	2425	96585
245	2433	96507
246	2442	96446
247	2452	96432
248	2462	96418
249	2470	96358
250	2479	96310
251	2490	96323
252	2499	96292
253	2514	96462
254	2523	96420
255	2532	96390
256	2542	96382
257	2553	96432
258	2562	96374
259	2571	96333
260	2579	96267
261	2588	96221
262	2597	96156
263	2606	96133
264	2621	96312
265	2633	96356
266	2644	96389
267	2654	96385
268	2669	96552
269	2678	96530
270	2687	96489
271	2697	96457
272	2710	96588
273	2719	96527
274	2727	96444
275	2736	96407
276	2745	96370
277	2754	96312
278	2763	96299
279	2771	96216
280	2779	96151
281	2790	96169
282	2799	96120
283	2809	96131
284	2817	96051
285	2826	96001
286	2834	95938
287	2843	95890
288	2851	95814
289	2859	95750
290	2869	95734
291	2877	95683
292	2886	95615
293	2895	95575
294	2907	95636
295	2916	95598
296	2925	95578
297	2933	95517
298	2943	95488
299	2952	95465
300	2961	95422
301	2969	95370
302	2977	95300
303	2988	95317
304	2997	95268
305	3005	95216
306	3018	95292
307	3027	95271
308	3036	95223
309	3044	95177
310	3054	95149
311	3066	95221
312	3076	95216
313	3086	95197
314	3094	95152
315	3104	95134
316	3113	95109
317	3126	95203
318	3136	95172
319	3145	95157
320	3155	95138
321	3165	95127
322	3175	95130
323	3184	95098
324	3195	95134
325	3204	95094
326	3214	95088
327	3223	95061
328	3236	95127
329	3246	95143
330	3259	95204
331	3269	95210
332	3279	95203
333	3288	95156
334	3298	95162
335	3308	95152
336	3319	95189
337	3331	95244
338	3342	95261
339	3352	95253
340	3361	95204
341	3371	95215
342	3381	95190
343	3390	95182
344	3399	95136
345	3410	95167
346	3418	95104
347	3429	95107
348	3438	95075
349	3447	95055
350	3458	95072
351	3467	95043
352	3476	95009
353	3486	94997
354	3497	95021
355	3505	94973
356	3516	94985
357	3525	94944
358	3533	94894
359	3542	94861
360	3551	94830
361	3561	94812
362	3572	94846
363	3581	94810
364	3591	94798
365	3600	94777
366	3609	94754
367	3619	94728
368	3634	94867
369	3647	94937
370	3660	95001
371	3670	94988
372	3680	95002
373	3689	94964
374	3698	94918
375	3705	94854
376	3713	94798
377	3724	94815
378	3734	94813
379	3743	94761
380	3752	94730
381	3760	94679
382	3769	94641
383	3778	94610
384	3786	94558
385	3799	94633
386	3809	94619
387	3817	94576
388	3829	94611
389	3838	94577
390	3847	94542
391	3856	94520
392	3865	94498
393	3874	94469
394	3883	94431
395	3891	94384
396	3901	94368
397	3909	94313
398	3918	94277
399	3926	94246
400	3935	94216
401	3945	94192
402	3954	94163
403	3962	94123
404	3972	94111
405	3981	94073
406	3990	94048
407	3999	94032
408	4008	93993
409	4016	93946
410	4024	93896
411	4033	93870
412	4042	93832
413	4050	93778
414	4058	93736
415	4066	93689
416	4076	93671
417	4086	93683
418	4095	93650
419	4103	93605
420	4112	93566
421	4120	93510
422	4128	93470
423	4139	93497
424	4148	93467
425	4157	93426
426	4165	93393
427	4174	93371
428	4185	93378
429	4195	93375
430	4203	93335
431	4212	93297
432	4222	93288
433	4232	93297
434	4251	93477
435	4259	93435
436	4268	93406
437	4280	93439
438	4291	93457
439	4302	93471
440	4310	93435
441	4318	93391
442	4327	93357
443	4336	93331
444	4344	93289
445	4354	93279
446	4363	93251
447	4371	93209
448	4383	93243
449	4392	93208
450	4401	93186
451	4414	93252
452	4423	93229
453	4434	93231
454	4443	93215
455	4453	93210
456	4462	93193
457	4471	93169
458	4483	93192
459	4491	93154
460	4503	93179
461	4512	93152
462	4519	93101
463	4528	93074
464	4536	93029
465	4546	93023
466	4556	93011
467	4566	93007
468	4575	92988
469	4586	93001
470	4596	92984
471	4606	92982
472	4615	92973
473	4627	92996
474	4640	93060
475	4650	93052
476	4660	93043
477	4669	93016
478	4677	92974
479	4686	92958
480	4694	92910
481	4703	92879
482	4724	93092
483	4732	93056
484	4743	93051
485	4752	93034
486	4761	93014
487	4771	93000
488	4782	93014
489	4792	93005
490	4801	92990
491	4810	92973
492	4821	92968
493	4830	92950
494	4840	92938
495	4848	92897
496	4856	92860
497	4863	92804
498	4874	92814
499	4883	92781
500	4895	92810
501	4904	92801
502	4912	92758
503	4921	92736
504	4931	92723
505	4950	92884
506	4959	92862
507	4970	92867
508	4979	92856
509	4989	92840
510	5000	92847
511	5010	92853
512	5021	92856
513	5032	92876
514	5043	92891
515	5054	92906
516	5064	92900
517	5077	92950
518	5088	92954
519	5100	92984
520	5118	93132
521	5129	93140
522	5140	93157
523	5150	93144
524	5159	93119
525	5168	93089
526	5176	93049
527	5185	93025
528	5200	93098
529	5209	93081
530	5223	93155
531	5236	93192
532	5245	93163
533	5254	93136
534	5262	93106
535	5271	93069
536	5281	93063
537	5289	93026
538	5298	93004
539	5307	92970
540	5315	92932
541	5326	92950
542	5335	92931
543	5349	92978
544	5356	92935
545	5365	92903
546	5374	92879
547	5383	92853
548	5391	92821
549	5400	92792
550	5410	92779
551	5419	92756
552	5428	92744
553	5437	92718
554	5446	92687
555	5455	92669
556	5464	92636
557	5473	92619
558	5481	92583
559	5492	92582
560	5500	92541
561	5510	92537
562	5524	92598
563	5533	92581
564	5542	92557
565	5550	92519
566	5560	92508
567	5570	92508
568	5581	92506
569	5590	92491
570	5598	92455
571	5608	92436
572	5623	92519
573	5632	92487
574	5642	92488
575	5652	92485
576	5662	92474
577	5673	92485
578	5682	92453
579	5690	92425
580	5700	92410
581	5709	92396
582	5719	92377
583	5726	92337
584	5735	92308
585	5744	92280
586	5752	92243
587	5761	92216
588	5771	92219
589	5779	92173
590	5787	92146
591	5795	92103
592	5809	92161
593	5820	92160
594	5833	92214
595	5843	92198
596	5854	92206
597	5863	92183
598	5873	92174
599	5883	92180
600	5893	92167
601	5903	92161
602	5917	92224
603	5927	92205
604	5936	92188
605	5946	92187
606	5955	92161
607	5966	92167
608	5976	92160
609	5985	92130
610	5993	92098
611	6005	92130
612	6015	92110
613	6025	92103
614	6033	92076
615	6042	92051
616	6052	92041
617	6061	92024
618	6070	92002
619	6081	92014
620	6092	92017
621	6100	91984
622	6110	91973
623	6120	91968
624	6130	91951
625	6138	91925
626	6157	92052
627	6166	92031
628	6179	92057
629	6187	92024
630	6199	92052
631	6217	92154
632	6227	92148
633	6236	92136
634	6259	92314
635	6268	92294
636	6279	92302
637	6288	92280
638	6298	92268
639	6308	92256
640	6316	92226
641	6325	92209
642	6335	92201
643	6345	92189
644	6354	92170
645	6365	92167
646	6374	92146
647	6382	92114
648	6391	92092
649	6401	92079
650	6409	92049
651	6418	92025
652	6427	91999
653	6437	91997
654	6465	92237
655	6478	92275
656	6487	92258
657	6496	92228
658	6505	92215
659	6514	92185
660	6522	92159
661	6531	92135
662	6541	92126
663	6550	92098
664	6559	92075
665	6567	92043
666	6583	92120
667	6594	92128
668	6609	92194
669	6620	92188
670	6629	92166
671	6638	92147
672	6647	92133
673	6658	92129
674	6667	92109
675	6677	92096
676	6687	92088
677	6701	92144
678	6710	92123
679	6719	92097
680	6729	92089
681	6737	92057
682	6746	92027
683	6756	92019
684	6765	92003
685	6776	91999
686	6785	91979
687	6796	91994
688	6806	91986
689	6816	91971
690	6828	91990
691	6838	91977
692	6847	91968
693	6857	91953
694	6866	91927
695	6875	91906
696	6883	91877
697	6892	91849
698	6900	91824
699	6909	91804
700	6918	91778
701	6931	91804
702	6940	91788
703	6952	91803
704	6964	91825
705	6974	91809
706	6982	91779
707	6991	91759
708	7001	91750
709	7011	91745
710	7020	91724
711	7029	91698
712	7037	91671
713	7046	91646
714	7055	91626
715	7064	91606
716	7073	91579
717	7083	91566
718	7095	91592
719	7105	91576
720	7113	91550
721	7137	91714
722	7146	91703
723	7157	91702
724	7165	91675
725	7174	91649
726	7182	91615
727	7199	91691
728	7208	91674
729	7216	91643
730	7225	91624
731	7235	91614
732	7245	91596
733	7256	91601
734	7264	91574
735	7272	91542
736	7281	91517
737	7290	91502
738	7300	91482
739	7309	91463
740	7319	91462
741	7329	91445
742	7337	91421
743	7347	91407
744	7355	91376
745	7364	91360
746	7374	91344
747	7386	91358
748	7397	91366
749	7409	91387
750	7418	91359
751	7428	91356
752	7437	91337
753	7448	91335
754	7459	91344
755	7468	91320
756	7476	91291
757	7485	91269
758	7494	91242
759	7505	91251
760	7516	91256
761	7526	91251
762	7538	91261
763	7548	91252
764	7557	91237
765	7566	91211
766	7574	91183
767	7591	91251
768	7602	91264
769	7614	91271
770	7623	91255
771	7633	91251
772	7643	91241
773	7652	91216
774	7660	91187
775	7668	91157
776	7679	91156
777	7687	91124
778	7696	91101
779	7706	91089
780	7717	91093
781	7732	91143
782	7745	91170
783	7755	91167
784	7766	91165
785	7777	91177
786	7793	91236
787	7804	91235
788	7813	91216
789	7821	91180
790	7829	91156
791	7838	91128
792	7846	91101
793	7856	91086
794	7866	91087
795	7875	91062
796	7887	91079
797	7898	91078
798	7908	91067
799	7917	91053
800	7943	91224
801	7953	91221
802	7962	91198
803	7971	91172
804	7980	91151
805	7990	91150
806	7998	91117
807	8008	91112
808	8020	91123
809	8032	91130
810	8055	91272
811	8064	91251
812	8074	91245
813	8086	91260
814	8096	91243
815	8104	91220
816	8114	91206
817	8122	91178
818	8132	91161
819	8140	91138
820	8150	91128
821	8160	91111
822	8185	91277
823	8195	91267
824	8205	91253
825	8214	91231
826	8223	91213
827	8232	91198
828	8241	91175
829	8250	91157
830	8259	91128
831	8268	91114
832	8277	91087
833	8286	91072
834	8294	91040
835	8304	91030
836	8313	91013
837	8322	90992
838	8331	90972
839	8339	90945
840	8350	90942
841	8359	90925
842	8368	90898
843	8381	90919
844	8390	90902
845	8399	90884
846	8408	90864
847	8417	90842
848	8425	90817
849	8434	90792
850	8442	90762
851	8450	90736
